geo_latitude,geo_longitude,date,president_name,village,region,total_low,total_high,size,total_deaths,location
33.00120462,70.0399017,"Sep 30, 2013",Obama,"Mohammad Khel, Datta Khel",North Waziristan,2,4,3.1,2 to 4 deaths,"Mohammad Khel, Datta Khel, North Waziristan"
32.99196335,70.04814145,"Oct 31, 2013",Obama,Miran Shah,North Waziristan,3,3,3.1,3 deaths,"Miran Shah, North Waziristan"
33.7006204,70.171567,"Sep 15, 2017",Trump,Ghuz Ghari,Kurram Agency,3,3,3.1,3 deaths,"Ghuz Ghari, Kurram Agency"
32.98822,70.046425,"Nov 29, 2008",Bush,"Chashma, a village on the outskirts of Miram Shah",North Waziristan,2,3,2.6,2 to 3 deaths,"Chashma, a village on the outskirts of Miram Shah, North Waziristan"
32.983322,70.08728,"Dec 15, 2008",Bush,Tapi Tool region near Miram Shah,North Waziristan,2,3,2.6,2 to 3 deaths,"Tapi Tool region near Miram Shah, North Waziristan"
32.30526109,69.45419308,"Dec 22, 2008",Bush,Azam Warzak near Wana,South Waziristan,2,3,2.6,2 to 3 deaths,"Azam Warzak near Wana, South Waziristan"
32.319633,69.501572,"Jan 1, 2009",Bush,"Karikot, near Wana",South Waziristan,2,3,2.6,2 to 3 deaths,"Karikot, near Wana, South Waziristan"
32.994267,70.207443,"Jan 1, 2010",Obama,"Ghundikala village, 15 km east of Miram Shah, in Mir Ali Tehsil",North Waziristan,2,3,2.6,2 to 3 deaths,"Ghundikala village, 15 km east of Miram Shah, in Mir Ali Tehsil, North Waziristan"
32.97987,70.287094,"Jun 10, 2010",Obama,"Khaddi village, nine miles east of Miram Shah",North Waziristan,2,3,2.6,2 to 3 deaths,"Khaddi village, nine miles east of Miram Shah, North Waziristan"
32.974686,70.278168,"Jun 26, 2010",Obama,"Khushali Khel, Mir Ali,",North Waziristan,2,3,2.6,2 to 3 deaths,"Khushali Khel, Mir Ali,, North Waziristan"
32.99369,69.624481,"Jan 23, 2011",Obama,"Doga Mada Khel, near Datta Khel",North Waziristan,2,3,2.6,2 to 3 deaths,"Doga Mada Khel, near Datta Khel, North Waziristan"
32.5917,70.0317,"Nov 3, 2011",Obama,Darpa Khel Sarai,North Waziristan,2,3,2.6,2 to 3 deaths,"Darpa Khel Sarai, North Waziristan"
32.71162,69.609375,"Aug 19, 2012",Obama,Mana,North Waziristan,2,3,2.6,2 to 3 deaths,"Mana, North Waziristan"
32.948757,70.313774,"Oct 1, 2012",Obama,"Khaider Kel, Mir Ali",North Waziristan,2,3,2.6,2 to 3 deaths,"Khaider Kel, Mir Ali, North Waziristan"
32.954807,70.168304,"Dec 6, 2012",Obama,Mubarak Shahi,North Waziristan,2,3,2.6,2 to 3 deaths,"Mubarak Shahi, North Waziristan"
33.6656971,70.6284736,"Feb 22, 2016",Obama,Shahidano Dhand,Kurram,1,4,2.6,1 to 4 deaths,"Shahidano Dhand, Kurram"
33.795036,69.9818372,"Dec 26, 2017",Trump,"Mata Sangar, near Ghuzgarhi",Kurram Agency,2,3,2.6,2 to 3 deaths,"Mata Sangar, near Ghuzgarhi, Kurram Agency"
33.6901807,70.0272319,"Jan 24, 2018",Trump,Speen Thal Dapa Mamuzai,Kurram Agency,2,3,2.6,2 to 3 deaths,"Speen Thal Dapa Mamuzai, Kurram Agency"
32.987644,70.261345,"May 8, 2005",Bush,"Toorikhel, Mirali",North Waziristan,2,2,2.1,2 deaths,"Toorikhel, Mirali, North Waziristan"
32.997723,70.342026,"Jan 3, 2010",Obama,"Mosakki village, 25 km east of Miram Shah, in Mir Ali Tehsil",North Waziristan,2,2,2.1,2 deaths,"Mosakki village, 25 km east of Miram Shah, in Mir Ali Tehsil, North Waziristan"
32.308025,69.43222,"Mar 13, 2011",Obama,"Azam Warsak, 12 miles west of Wana",South Waziristan,0,4,2.1,0 to 4 deaths,"Azam Warsak, 12 miles west of Wana, South Waziristan"
32.327759,69.43634,"Sep 27, 2011",Obama,"Azam Warsak, 12 miles west of Wana",South Waziristan,0,4,2.1,0 to 4 deaths,"Azam Warsak, 12 miles west of Wana, South Waziristan"
32.5725,69.5306,"Mar 10, 2013",Obama,Muhammad Khel,North Waziristan,2,2,2.1,2 deaths,"Muhammad Khel, North Waziristan"
32.96453082,70.27301785,"Jul 13, 2013",Obama,"Mosaki Village, Mir Ali",North Waziristan,2,2,2.1,2 deaths,"Mosaki Village, Mir Ali, North Waziristan"
32.99505888,70.06530758,"Nov 29, 2013",Obama,Miran Shah,North Waziristan,1,3,2.1,1 to 3 deaths,"Miran Shah, North Waziristan"
28.948282,64.2718753,"May 21, 2016",Obama,Dahl Bandin,Balochistan,2,2,2.1,2 deaths,"Dahl Bandin, Balochistan"
32.2936111,70.1028113,"Mar 2, 2017",Trump,"Sara Khwa, Kurram Agency",South Waziristan,2,2,2.1,2 deaths,"Sara Khwa, Kurram Agency, South Waziristan"
32.8453688,69.4870511,"Feb 8, 2018",Trump,Gorwak,North Waziristan,1,3,2.1,1 to 3 deaths,"Gorwak, North Waziristan"
33.15,70.4333,"Jul 4, 2018",Trump,Tor Tangai,North Waziristan,1,2,1.6,1 to 2 deaths,"Tor Tangai, North Waziristan"
32.622604,69.829102,"Jun 14, 2008",Bush,Makeen,South Waziristan,1,1,1.1,1 death,"Makeen, South Waziristan"
32.9052,69.7488,"Jul 12, 2011",Obama,Neway Adda Village,North Waziristan,1,1,1.1,1 death,"Neway Adda Village, North Waziristan"
32.3028,69.5805,"Aug 27, 2008",Bush,Ganghikhel area,South Waziristan,0,0,0.1,0 deaths,"Ganghikhel area, South Waziristan"
33.4616987,70.3628775,"Jan 17, 2018",Trump,Badshah Kot,Kurram Agency,0,0,0.1,0 deaths,"Badshah Kot, Kurram Agency"
